name,review,type,state,star,rank
Arches National Park,3929,Hiking Trails,Utah,5.0,1
Hawaii Volcanoes National Park,5206,Volcanos,Hawaii,4.5,1
Acadia National Park,1316,National Parks,Maine,5.0,2
Bryce Canyon National Park,5547,Geologic Formations,Utah,5.0,1
Hot Springs National Park,406,National Parks,Arkansas,4.5,9
Zion National Park,818,National Parks,Utah,4.5,7
Cuyahoga Valley National Park,488,National Parks,Ohio,4.5,1
Capitol Reef National Park,960,Nature & Wildlife Areas,Utah,4.5,1
Joshua Tree National Park,1606,Parks,California,4.5,1
Theodore Roosevelt National Park,993,National Parks,North Dakota,4.5,1
Canyonlands National Park,1032,National Parks,Utah,4.5,6
Grand Teton,1808,National Parks,Wyoming,5.0,1
Nationals Park,1105,Arenas & Stadiums,District of Columbia,4.5,43
Pinnacles National Park,350,National Parks,California,4.5,1
Big Bend National Park,593,Parks,Texas,5.0,1
Dry Tortugas National Park,3349,National Parks,Florida,5.0,2
Yosemite Valley,4584,Valleys,California,4.5,2
Congaree National Park,296,National Parks,South Carolina,4.5,1
Redwood National Park,831,Hiking Trails,California,5.0,1
Park Loop Road,1020,Scenic Drives,Maine,4.5,2
Crater Lake National Park,2045,National Parks,Oregon,5.0,1
Kenai Fjords National Park,1135,National Parks,Alaska,5.0,1
Mammoth Cave National Park,2570,Caverns & Caves,Kentucky,4.5,1
Acadia National Park Tours,273,Nature & Wildlife Tours,Maine,4.5,10
Denali National Park,549,State Parks,Alaska,4.5,34
Mount Rainier,1215,Mountains,Washington,5.0,1
Biscayne National Park,177,Sightseeing Tours,Florida,4.0,1
Denali,1725,Mountains,Alaska,5.0,1
Images of Rocky Mountain National Park,205,Art Galleries,Colorado,5.0,2
Central Park,88434,Points of Interest & Landmarks,New York,4.5,1
