name,state,year,visitor
Acadia,Maine,1919,2563129
American Samoa,American Samoa,1988,13953
Arches,Utah,1971,1284767
Badlands,South Dakota,1978,868094
Big Bend,Texas,1944,314102
Biscayne,Florida,1980,525745
Black Canyon of the Gunnison,Colorado,1999,183045
Bryce Canyon,Utah,1928,1435741
Canyonlands,Utah,1964,542431
Capitol Reef,Utah,1971,786514
Carlsbad Caverns,New Mexico,1930,1497889
Channel Islands,California,1980,342161
Congaree,South Carolina,2003,120122
Crater Lake,Oregon,1902,535508
Cuyahoga Valley,Ohio,2000,2189849
Death Valley,California,1994,1101312
Denali,Alaska,1917,531315
Dry Tortugas,Florida,1992,64865
Everglades,Florida,1934,1110901
Gates of the Arctic,Alaska,1980,12669
Glacier,Montana,1910,2338528
Glacier Bay,Alaska,1980,500727
Grand Canyon,Arizona,1919,4756771
Grand Teton,Wyoming,1929,2791392
Great Basin,Nevada,1986,107526
Great Sand Dunes,Colorado,2004,271774
Great Smoky Mountains,Tennessee,1934,10099276
Guadalupe Mountains,Texas,1966,166868
Hawaii Volcanoes,Hawaii,1916,1693005
Hot Springs,Arkansas,1921,1424484
Isle Royale,Michigan,1940,14560
Joshua Tree,California,1994,1589904
Katmai,Alaska,1980,30896
Kenai Fjords,Alaska,1980,270666
Kings Canyon,California,1940,502268
Kobuk Valley,Alaska,1980,16875
Lake Clark,Alaska,1980,16100
Lassen Volcanic,California,1916,432977
Mammoth Cave,Kentucky,1941,522628
Mesa Verde,Colorado,1906,501563
Mount Rainier,Washington,1899,1264259
North Cascades,Washington,1968,23865
Olympic,Washington,1938,3243872
Petrified Forest,Arizona,1962,836799
Pinnacles,California,2013,196635
Redwood,California,1968,429166
Rocky Mountain,Colorado,1915,3434751
Saguaro,Arizona,1994,673572
Sequoia,California,1890,1039137
Shenandoah,Virginia,1926,1255321
Theodore Roosevelt,North Dakota,1978,559580
Virgin Islands,United States Virgin Islands,1956,426930
Voyageurs,Minnesota,1971,239160
Wind Cave,South Dakota,1903,542022
Yellowstone,Wyoming,1872,3513484
Yosemite,California,1890,3882642
Zion,Utah,1919,3189696
